Site	Key	rule	attribute_name	page_id	rule	attribute_name	page_id																														
www.focusedtechnology.com	5601-Microphones	//div[@class='sku']/text()	Part Number	TRUE																																	
www.focusedtechnology.com	5602-NEC Lamps	//div[@class='sku']/text()	Part Number	TRUE																																	
www.focusedtechnology.com	5603-Optoma Projectors	//div[@class='sku']/text()	Part Number	TRUE																																	
www.focusedtechnology.com	5604-Projector Carrying Cases	//div[@class='sku']/text()	Part Number	TRUE																																	
www.focusedtechnology.com	5605-Projectors	//div[@class='sku']/text()	Part Number	TRUE																																	
www.forwardforward.com	5615-sunglasses	(//div[@class='product_detail']/ul/li)[last()-1]	Our Style No.	TRUE	(//div[@class='product_detail']/ul/li)[last()]	Manufacturer Style No.	TRUE																														
www.freestylephoto.biz	5617-Flashes	//div[@class='span5 product-name-box']/text()[3]	Model:	TRUE																																	
www.freestylephoto.biz	5618-Plastic Cameras	//div[@class='span5 product-name-box']/text()[3]	Model:	TRUE																																	
www.frontierpc.com	5622-Cabinet Locks	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5623-Carrying Cases	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5624-Chairs and Seating	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5625-Digital Still Cameras	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5626-Drive Cabinets	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5627-Dry Erase Boards	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5628-Hole Punchers	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5629-IP Phones	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5630-Laser Printers	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5631-Monitors	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5632-Power Supplies	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5633-Sheet Folders	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5634-Storage Arrays	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5635-Thermal Labels	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5636-Transfer Switches	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5637-USB Cables	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5638-USB/Firewire Adapters	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5639-VIEW ALL CABLES AND ADAPTERS	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5640-VIEW ALL ELECTRONICS	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5641-VIEW ALL INPUT DEVICES	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5642-VIEW ALL OFFICE SUPPLIES	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5643-Video Door Phones	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frontierpc.com	5644-Voice Recorders	//div[@class='label']/text()[preceding-sibling::b]	Web ID	TRUE	//div[@class='label']/../div[2]/span/text()	Mfr. Part	TRUE																														
www.frys.com	5645-Anatomy	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE																														
www.frys.com	5646-Antenna Accessories	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5647-Batteries	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5648-Batteries - Photo	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5649-Books	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5650-Cables & Connectivity	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5651-Calendars & Planners	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5652-Car Security & Safety Systems	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
www.frys.com	5653-Card Stock & Construction Paper	//li[@style='width: 160px;'][1]/text()	Frys.com #	TRUE	//li[@style='width: 160px;'][2]/text()	UPC #	TRUE	//li[@style='width: 160px;'][2]/../li[4]/text()	Model #	TRUE																											
