SITO	CHIAVE	PATH	LABEL	PAGE_ID	PATH_2	LABEL_2	PAGE_ID_2	PATH_3	LABEL_3	PAGE_ID_3	PATH_4	LABEL_4	PAGE_ID_4	PATH_5	LABEL_5	PAGE_ID_5	PATH_6	LABEL_6	PAGE_ID_6
eds-tv.com	622-TV Stands & Tables	//b[contains(.,"UPC Code:")]/following-sibling::text()[1]	UPC	1															
electronicsexpress.com	630-see Tablet Deals	//*[@class="description-bottom"]/h4/text()	Product Number	1	//*[@class="product-description"]//li[contains(.,"Part #")]/text()	Part #	1	//div[@class="specs-right"]/div[@class="item"]/h3[1]/text()	Related Models	0	//div[@class="specs-left"]/div[@class="item"]//h3/a/text()	Accessories Models	0						
en.smartbuyglasses.com.hk	632-sunglasses	//*[@itemprop="gtin13"]/text()	UPC	1															
eprice.it	634-software	//*[@id="ftenhance"]/strong/text()	ProdID	1															
evatech.com.au	636-Keyboards & Mice	//*[@id="product_reference"]/span/text()	Reference	1															
fishpond.com.au	643-cutlery	//td[@itemprop="gtin13"]/text()	EAN	1															
fumfie.com	680-Bundles	//div[@class="itemContentMPN"]/b[contains(.,"SKU")]/following-sibling::node()/text()	SKU	1	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::text()	MPN	1	//div[@class="itemContentMPN"]/b[contains(.,"UPC")]/following-sibling::node()/text()	UPC	1									
fumfie.com	681-Mirrorless Camera	//div[@class="itemContentMPN"]/b[contains(.,"SKU")]/following-sibling::node()/text()	SKU	1	//div[@class="itemContentMPN"]/b[contains(.,"MPN")]/following-sibling::text()	MPN	1	//div[@class="itemContentMPN"]/b[contains(.,"UPC")]/following-sibling::node()/text()	UPC	1									
futureshop.ca	683-tv	//*[@id="ctl00_CP_ctl00_PD_lblModelNumber"]	Model #	1	//*[@id="ctl00_CP_ctl00_PD_lblSku"]	Web Code	1												
geizhals.de	686-software	//*[@id="gh_proddesc"]/span/p[1]	EAN	1															
globalbrand.com.bd	687-monitor	//div[@class="description"]/p[2]/text()[3]	Product Code	1															
gsmserver.com	690-Spare Parts for Tablets	//span[@class="product-id"]/text()	ID	1															
hdtvbonaza.com	697-tv	//div[@class="content"]/div[@class="description"]/p/text()	asin	1															
hesshomefurnishings.com	699-Cabinets / Consoles	//*[@id="panel2"]/table/tbody/tr[2]/td[2]	item number	1															
hesshomefurnishings.com	700-Ottomans	//*[@id="panel2"]/table/tbody/tr[2]/td[2]	item number	1															
hesshomefurnishings.com	701-Video Cameras	//*[@id="panel2"]/table/tbody/tr[2]/td[2]	item number	1															
homeshopping.ae	708-Acer  (2)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	709-Alienware  (17)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	710-Asus  (16)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	711-Digital Cameras (8)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	712-HP  (1)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	713-HP  (30)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	714-MSI  (1)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	715-Sager  (3)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	716-Samsung  (1)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	717-Samsung  (4)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	718-Toshiba  (21)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.ae	719-Toshiba  (29)	//div[@id="ProductDetails"]//div[contains(./text(),"Product ID")]/../div[@class="Value"]/text()	Product ID	1															
homeshopping.pk	720-Elite Electronics	//div[contains(./text(),"Product ID")]/../following-sibling::node()[2]/div/text()	Product ID	1															
homeshopping.pk	722-notebook	//div[contains(./text(),"Product ID")]/../following-sibling::node()[2]/div/text()	Product ID	1															
items.techforless.com	729-monitor	//span[@itemprop="identifier"]/text()	Part Number	1															
www.frontierpc.com	9800-Dot Matrix Printers	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9801-Hybird Hard Drives	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9802-Label Tape	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9803-Maintenance Kits	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9804-NAS Servers	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9805-Network Interface Cards	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9806-Network Security & Firewalls	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9807-Padlocks	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9808-Photo Paper	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9809-Remote Management Adapters	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9810-Servers	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9811-Storage Media Cases	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9812-Terminal & Device Servers	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9813-Thermal Transfer Printers	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9814-Touchscreen Monitors	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9815-VIEW ALL COMPUTERS	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9816-VIEW ALL POWER EQUIPMENT	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9817-VIEW ALL PRINTERS	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9818-VIEW ALL SECURITY & SURVEILLANCE	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
www.frontierpc.com	9819-VIEW ALL SOFTWARE & SERVICES	//b[contains(.,"Web ID:")]/following-sibling::text()	Web ID	1	//b[contains(.,"Mfr. Part:")]/following-sibling::node()/text()	Mfr. Part	1												
